city,lat,lng,country,iso2,continent,adjectives
Charleroi,50.4167,4.4442,Belgium,BE,Europe,"{'industrial': 11, 'former': 10, 'new': 8, '20th': 7, 'municipal': 6, '19th': 6, 'general': 5, 'commercial': 4, 'absolute': 4, 'socialist': 4, 'local': 4, 'secondary': 4, 'various': 3, 'small': 3, 'old': 3, 'central': 3, 'diverse': 3, 'political': 3, 'significant': 3, 'neoclassical': 3, 'light': 3, 'metallurgical': 2, 'modern': 2, 'civil': 2, 'revolutionary': 2, 'whole': 2, 'important': 2, 'early': 2, 'similar': 2, 'historic': 2, 'specific': 2, 'present': 2, 'great': 2, 'biological': 2, 'vast': 2, 'numerous': 2, 'regional': 2, 'alternative': 2, 'neo': 2, 'renaissance': 2, 'wide': 2, 'military': 2, 'direct': 2, 'indirect': 2, 'official': 2, 'greater': 2, 'famous': 2, 'cultural': 2, 'metropolitan': 1, 'outer': 1}"
Tokha,27.75,85.3333,Nepal,NP,Asia,"{'current': 2, 'male': 2, 'female': 2, 'former': 1, 'historical': 1, 'raw': 1, 'literate': 1, 'municipal': 1, 'social': 1, 'necessary': 1, 'amateur': 1, 'external': 1}"
Ranzan,36.0565,139.3205,Japan,JP,Asia,"{'central': 2, 'annual': 2, 'middle': 2, 'square': 1, 'northern': 1, 'humid': 1, 'subtropical': 1, 'warm': 1, 'cool': 1, 'wettest': 1, 'highest': 1, 'lowest': 1, 'modern': 1, 'unicameral': 1, '10th': 1, 'lower': 1, 'agricultural': 1, 'industrial': 1, 'elementary': 1, 'local': 1, 'external': 1}"
Silao,20.9478,-101.4281,Mexico,MX,North America,"{'central': 3, 'geographic': 3, 'official': 3, 'agricultural': 2, 'industrial': 2, 'municipal': 2, 'indigenous': 2, '17th': 2, 'catholic': 2, 'west': 1, 'seventh': 1, 'original': 1, 'dense': 1, 'thermal': 1, 'equivalent': 1, 'few': 1, 'important': 1, 'semi': 1, 'arid': 1, 'annual': 1, 'northeastern': 1, 'dry': 1, 'wide': 1, 'full': 1, 'ethnic': 1, 'principal': 1, 'native': 1, 'square': 1, 'last': 1, 'classical': 1, 'historic': 1, 'highest': 1, 'parochial': 1, 'innumerable': 1, 'rich': 1, 'military': 1, 'financial': 1, 'commercial': 1, 'external': 1}"
Mpondwe,0.04,29.725,Uganda,UG,Africa,"{'ubos': 3, 'busiest': 2, 'mid': 2, 'secondary': 1, 'nearby': 1, 'immediate': 1, 'metropolitan': 1, 'nearest': 1, 'geographical': 1, 'mean': 1, 'annual': 1, 'cross': 1, 'border': 1, 'following': 1, 'close': 1, 'prominent': 1, 'current': 1, 'former': 1}"
Inagi,35.6379,139.5046,Japan,JP,Asia,"{'junior': 3, 'central': 2, 'annual': 2, 'local': 2, 'elementary': 2, 'western': 1, 'square': 1, 'south': 1, 'humid': 1, 'subtropical': 1, 'warm': 1, 'cool': 1, 'wettest': 1, 'highest': 1, 'lowest': 1, 'roof': 1, 'heian': 1, 'pre': 1, 'meiji': 1, 'modern': 1, 'administrative': 1, 'unicameral': 1, 'lower': 1, '30th': 1, 'extensive': 1, 'new': 1, 'late': 1, 'residual': 1, 'municipal': 1, 'senior': 1, 'notable': 1, 'anime': 1, 'mechanical': 1, 'external': 1}"
Kamituga,-3.06,28.18,Democratic Republic of the Congo,CD,Africa,"{'artisanal': 6, 'economic': 5, 'informal': 4, 'local': 3, 'commercial': 2, 'social': 2, 'new': 2, 'rural': 2, 'industrial': 2, 'western': 1, 'alluvial': 1, 'difficult': 1, 'illegal': 1, 'certain': 1, 'political': 1, 'customary': 1, 'bigger': 1, 'persistent': 1, 'short': 1, 'southern': 1, 'unable': 1, 'late': 1, 'simba': 1, 'double': 1, 'armed': 1, 'former': 1, 'legal': 1, 'gold': 1, 'urban': 1, 'dependent': 1, 'provincial': 1, 'territorial': 1, 'tropical': 1, 'warm': 1, 'rainy': 1, 'good': 1, 'little': 1, 'long': 1, 'small': 1, 'only': 1, 'convenient': 1, 'notable': 1, 'eastern': 1}"
Mława,53.1167,20.3667,Poland,PL,Europe,"{'local': 7, 'military': 2, 'economic': 2, 'eastern': 1, 'urban': 1, 'royal': 1, 'entire': 1, 'autonomous': 1, 'pre-1914': 1, 'imperial': 1, 'heavy': 1, 'interwar': 1, 'strong': 1, 'mass': 1, 'following': 1, 'disabled': 1, 'forced': 1, 'labour': 1, 'anti': 1, 'tank': 1, 'square': 1, 'fifteen': 1, 'similar': 1, 'last': 1, 'adjacent': 1, 'communist': 1, 'violent': 1, 'young': 1, 'single': 1, 'substantial': 1, 'romani': 1, 'ongoing': 1, 'transitional': 1, 'political': 1, 'social': 1, 'oceanic': 1, '−3': 1, 'humid': 1, 'continental': 1, 'historic': 1, 'bio': 1, '™': 1, 'annual': 1, 'recycled': 1, 'socialist': 1, 'feminist': 1, 'yiddish': 1, 'short': 1, 'comic': 1, 'revolutionary': 1}"
Niğde,37.9667,34.6792,Turkey,TR,Asia,"{'early': 4, 'ancient': 3, '14th': 3, 'cold': 2, 'unique': 2, 'specific': 2, 'small': 1, 'green': 1, 'religious': 1, 'conservative': 1, 'medieval': 1, 'nearest': 1, 'nearby': 1, 'principal': 1, 'anatolian': 1, 'ruinous': 1, 'christian': 1, 'late': 1, '19th': 1, 'republican': 1, 'recent': 1, 'balkan': 1, 'cultural': 1, 'social': 1, 'rural': 1, 'semi': 1, 'arid': 1, 'temperate': 1, 'continental': 1, 'hot': 1, 'dry': 1, 'snowy': 1, 'volcanic': 1, 'south': 1, 'metamorphic': 1, 'pure': 1, 'white': 1, 'quadripartite': 1, 'rose': 1, '13th': 1, 'long': 1, 'human': 1, 'calligraphic': 1, 'accidental': 1, 'creative': 1, 'finest': 1, 'obvious': 1, 'frescoed': 1, 'rediscovered': 1, 'lengthy': 1}"
Kōnosu,36.0659,139.5222,Japan,JP,Asia,"{'square': 2, 'central': 2, 'annual': 2, 'humid': 1, 'subtropical': 1, 'warm': 1, 'cool': 1, 'wettest': 1, 'highest': 1, 'lowest': 1, 'long': 1, 'ancient': 1, 'falconry': 1, 'modern': 1, 'annexed': 1, 'unicameral': 1, '6th': 1, 'lower': 1, 'electronic': 1, 'popular': 1, 'traditional': 1, 'elementary': 1, 'middle': 1, 'special': 1, 'local': 1, 'professional': 1, 'external': 1}"
